claim_id,wave,human_status,reviewer_name,reviewer_role,adjudication_date,decision,rationale,confidence,conflict_of_interest,confirmation,second_reviewer_required
BR-CLM-001,WAVE 1,HUMAN_CLAIM_READY,Matheus Florindo de Deus,pesquisador responsável / revisor humano do projeto,2026-09-20,APPROVE_WITH_EDIT,"manter associação, amostra local e ausência de causalidade explícitas.",,NONE_DECLARED,CONFIRMED_IN_CHAT,NO
BR-CLM-002,WAVE 1,HUMAN_CLAIM_READY,Matheus Florindo de Deus,pesquisador responsável / revisor humano do projeto,2026-09-20,APPROVE_WITH_EDIT,"manter natureza observacional, diferenças entre turnos e limitação regional.",,NONE_DECLARED,CONFIRMED_IN_CHAT,NO
BR-CLM-003,WAVE 1,REVIEWER1_APPROVED_PENDING_REVIEWER2,Matheus Florindo de Deus,pesquisador responsável / revisor humano do projeto,2026-09-20,APPROVE_WITH_EDIT,"manter o resultado predominantemente nulo restrito ao protocolo experimental e registrar PARTIAL_OVERLAP com EV-1474.",,NONE_DECLARED,CONFIRMED_IN_CHAT,YES
BR-CLM-004,WAVE 1,REVIEWER1_APPROVED_PENDING_REVIEWER2,Matheus Florindo de Deus,pesquisador responsável / revisor humano do projeto,2026-09-20,APPROVE_WITH_EDIT,"manter apenas as associações específicas observadas e registrar PARTIAL_OVERLAP com EV-1473.",,NONE_DECLARED,CONFIRMED_IN_CHAT,YES
BR-CLM-005,WAVE 1,REVIEWER1_APPROVED_PENDING_REVIEWER2,Matheus Florindo de Deus,pesquisador responsável / revisor humano do projeto,2026-09-20,APPROVE_AS_WRITTEN,"autorizar apenas o claim de documentação de uso operacional de torniquete, sem inferência de eficácia clínica ou redução de mortalidade.",,NONE_DECLARED,CONFIRMED_IN_CHAT,YES
BR-CLM-006,WAVE 1,REVIEWER1_APPROVED_PENDING_REVIEWER2,Matheus Florindo de Deus,pesquisador responsável / revisor humano do projeto,2026-09-20,APPROVE_WITH_EDIT,"incluir a estimativa de redução média de 18,3 homicídios por 100 mil dentro das limitações do desenho DiD e deixar explícito que se trata de outcome de política pública, não de prontidão fisiológica individual.",,NONE_DECLARED,CONFIRMED_IN_CHAT,YES
BR-CLM-007,WAVE 1,HUMAN_CLAIM_READY,Matheus Florindo de Deus,pesquisador responsável / revisor humano do projeto,2026-09-20,APPROVE_AS_WRITTEN,"preservar integralmente o resultado nulo do programa e sua limitação ao contexto avaliado.",,NONE_DECLARED,CONFIRMED_IN_CHAT,NO
BR-CLM-008,WAVE 1,HUMAN_CLAIM_READY,Matheus Florindo de Deus,pesquisador responsável / revisor humano do projeto,2026-09-20,APPROVE_WITH_EDIT,"deixar explícitos o caráter não randomizado, a natureza simulada do outcome e a impossibilidade de inferir eficácia operacional real.",,NONE_DECLARED,CONFIRMED_IN_CHAT,NO
BR-CLM-009,WAVE 1,HUMAN_CLAIM_READY,Matheus Florindo de Deus,pesquisador responsável / revisor humano do projeto,2026-09-20,APPROVE_WITH_EDIT,"preservar a associação entre seis meses de academia e melhora física, sem atribuir causalidade a componentes específicos do treinamento e mantendo a limitação de amostra exclusivamente masculina.",,NONE_DECLARED,CONFIRMED_IN_CHAT,NO
BR-CLM-010,WAVE 1,REVIEWER1_DOWNGRADED_PENDING_REVIEWER2,Matheus Florindo de Deus,pesquisador responsável / revisor humano do projeto,2026-09-20,DOWNGRADE_TO_CONTEXT,"utilizar EV-1483 apenas como evidência mecanística/contextual de hidratação e strain fisiológico em militares, sem tratá-lo como evidência direta de policiais ou bombeiros brasileiros.",,NONE_DECLARED,CONFIRMED_IN_CHAT,YES
BR-CLM-011,WAVE 1,REVIEWER1_APPROVED_PENDING_REVIEWER2,Matheus Florindo de Deus,pesquisador responsável / revisor humano do projeto,2026-09-20,APPROVE_WITH_EDIT,"utilizar EV-1484 para associações de medical readiness no Paraná, mantendo explicitamente desenho transversal, limites de causalidade, baixa representação feminina e proibição de extrapolar os resultados como prevalência nacional.",,NONE_DECLARED,CONFIRMED_IN_CHAT,YES
